x,y,z,energy
15104,12944,-1024,19917.99508
9648,8672,1056,13015.47633
4576,5024,-400,6807.374824
7888,5616,-2576,10019.76926
5088,4864,-1264,7151.498864
-1936,2736,-2144,3978.759606
144,3824,-2400,4517.046823
9824,12864,-1216,16231.82454
10192,6064,-2768,12178.29151
7904,6992,-1232,10624.45782
4256,6272,-2208,7894.731408
3056,3248,-4400,6264.873502
1824,7072,-1168,7396.241208
8240,7920,304,11433.12801
1584,6992,-7120,10104.03484
13648,9376,-5856,17563.31449
25456,16224,2768,30313.1644
19840,20080,-2944,28381.31667
10272,10576,-240,14745.28264
9152,5792,2592,11136.64366
4848,6176,-112,7852.300555
4928,4944,-288,6986.505851
4720,3264,-1904,6046.264301
4736,2256,-2304,5729.541692
12544,3456,-3408,13450.2913
20624,8528,-4768,22821.26167
16160,10080,-4400,19547.68528
20864,9376,-7520,24078.33616
28272,13072,-6560,31831.06608
23424,16160,-1792,28513.8675
12096,10896,-416,16285.24142
9856,7184,-1760,12322.66984
7440,6528,-1744,10050.36915
2416,3760,-3312,5562.733141
2928,6624,-2576,7686.763688
21392,20784,1488,29863.12884
18640,25040,3136,31373.32778
29040,31664,-8240,43747.32102
15232,22976,-2528,27682.14558
11296,14064,-1552,18105.36981
9168,8000,-1824,12303.62548
9104,7200,-4288,12373.75287
4480,5072,-1968,7047.595902
6096,4384,-2544,7927.963673
3856,1840,-3216,5347.615543
5216,5584,-3072,8235.587168
3776,2144,-3664,5681.532188
4160,4224,-3184,6729.460008
3264,1808,-4272,5672.084626
2544,592,-1920,3241.727934
4816,2816,-1664,5821.735824
6048,2224,-1520,6620.791493
19696,448,-624,19710.974
13568,2800,-1456,13930.20316
27184,13520,12944,33004.65713
25984,14224,11200,31669.0769
21024,7712,-2528,22536.06674
26064,13376,-8048,30381.24053
26560,13104,-1264,29643.65214
22800,19504,2576,30114.47811
25984,15120,-3360,30250.16126
29232,22640,-5872,37437.41188
29776,26864,2800,40201.05312
27424,14272,2640,31027.97705
32128,16560,-3712,36334.84454
29744,20096,-4848,36222.33918
29328,23536,-5392,37988.79498
23872,19216,-416,30648.00313
11360,12064,1936,16683.45863
10496,12240,1504,16193.99988
10576,12192,2464,16326.90834
